VIN,EVENTTIME,DATEHOUR,ODOMETERVALUE,FUELAMOUNT,AUTONOMYDISTANCE,DISTANCETOSERVICEVALUE
0022bce2ad006326afe7,1662066352961,2022-09-01 18:05:52.961,9341,41,425,2659
0022bce2ad006326afe7,1662072807627,2022-09-01 19:53:27.627,9345,40,409,2655
0022bce2ad006326afe7,1662072828447,2022-09-01 19:53:48.447,9345,40,409,2655
0022bce2ad006326afe7,1662077515474,2022-09-01 21:11:55.474,9353,40,409,2647
0022bce2ad006326afe7,1662080747710,2022-09-01 22:05:47.710,9358,39,393,2642
0022bce2ad006326afe7,1662081406318,2022-09-01 22:16:46.318,9359,39,393,2641
0022bce2ad006326afe7,1662114999823,2022-09-02 07:36:39.823,9367,37,379,2633
0022bce2ad006326afe7,1662131139774,2022-09-02 12:05:39.774,9375,37,380,2625
0022bce2ad006326afe7,1662136736731,2022-09-02 13:38:56.731,9383,36,370,2617
0022bce2ad006326afe7,1662152793056,2022-09-02 18:06:33.056,9391,35,363,2609
0022bce2ad006326afe7,1662154038421,2022-09-02 18:27:18.421,9395,34,352,2605
0022bce2ad006326afe7,1662154445188,2022-09-02 18:34:05.188,9398,34,345,2602
0022bce2ad006326afe7,1662169022864,2022-09-02 22:37:02.864,9401,34,341,2599
0022bce2ad006326afe7,1662169596844,2022-09-02 22:46:36.844,9405,33,334,2595
0022bce2ad006326afe7,1662175627643,2022-09-03 00:27:07.643,9409,33,331,2591
0022bce2ad006326afe7,1662180280671,2022-09-03 01:44:40.671,9426,31,310,2574
0022bce2ad006326afe7,1662291299199,2022-09-04 08:34:59.199,9427,30,295,2573
0022bce2ad006326afe7,1662297588715,2022-09-04 10:19:48.715,9564,12,112,2436
0022bce2ad006326afe7,1662305041353,2022-09-04 12:24:01.353,9567,10,103,2433
0022bce2ad006326afe7,1662310461651,2022-09-04 13:54:21.651,9570,10,96,2430
0022bce2ad006326afe7,1662317236757,2022-09-04 15:47:16.757,9574,9,84,2426
0022bce2ad006326afe7,1662322886699,2022-09-04 17:21:26.699,9576,9,84,2424
0022bce2ad006326afe7,1662327129732,2022-09-04 18:32:09.732,9592,6,63,2408
0022bce2ad006326afe7,1662331495616,2022-09-04 19:44:55.616,9707,20,212,2293
0022bce2ad006326afe7,1662331882850,2022-09-04 19:51:22.850,9708,19,209,2292
0022bce2ad006326afe7,1662374122876,2022-09-05 07:35:22.876,9716,18,192,2284
0022bce2ad006326afe7,1662390537041,2022-09-05 12:08:57.041,9723,17,180,2277
0022bce2ad006326afe7,1662395983718,2022-09-05 13:39:43.718,9731,15,165,2269
0022bce2ad006326afe7,1662413147659,2022-09-05 18:25:47.659,9743,15,155,2257
0022bce2ad006326afe7,1662414467810,2022-09-05 18:47:47.810,9751,13,136,2249
0022bce2ad006326afe7,1662418542653,2022-09-05 19:55:42.653,9754,12,127,2246
0022bce2ad006326afe7,1662420128231,2022-09-05 20:22:08.231,9759,10,105,2241
0022bce2ad006326afe7,1662460542919,2022-09-06 07:35:42.919,9766,9,98,2234
0022bce2ad006326afe7,1662476985837,2022-09-06 12:09:45.837,9774,9,98,2226
0022bce2ad006326afe7,1662482151882,2022-09-06 13:35:51.882,9782,7,78,2218
0022bce2ad006326afe7,1662497999797,2022-09-06 17:59:59.797,9790,6,66,2210
0022bce2ad006326afe7,1662506593506,2022-09-06 20:23:13.506,9791,6,66,2209
0022bce2ad006326afe7,1662511480902,2022-09-06 21:44:40.902,9804,3,36,2196
0022bce2ad006326afe7,1662571986770,2022-09-07 14:33:06.770,9806,3,36,2194
0022bce2ad006326afe7,1662573712970,2022-09-07 15:01:52.970,9815,60,593,2185
0022bce2ad006326afe7,1662579930669,2022-09-07 16:45:30.669,9819,60,592,2181
0022bce2ad006326afe7,1662582272291,2022-09-07 17:24:32.291,9825,60,591,2175
0022bce2ad006326afe7,1662582310093,2022-09-07 17:25:10.093,9825,60,591,2175
0022bce2ad006326afe7,1662582539388,2022-09-07 17:28:59.388,9825,60,591,2175
0022bce2ad006326afe7,1662589436315,2022-09-07 19:23:56.315,9830,60,589,2170
0022bce2ad006326afe7,1662594757921,2022-09-07 20:52:37.921,9835,60,589,2165
0022bce2ad006326afe7,1662633189745,2022-09-08 07:33:09.745,9842,59,583,2158
0022bce2ad006326afe7,1662649447519,2022-09-08 12:04:07.519,9850,59,583,2150
0022bce2ad006326afe7,1662653568216,2022-09-08 13:12:48.216,9851,59,580,2149
0022bce2ad006326afe7,1662654510602,2022-09-08 13:28:30.602,9858,58,569,2142
0022bce2ad006326afe7,1662671749900,2022-09-08 18:15:49.900,9865,58,571,2135
0022bce2ad006326afe7,1662672262313,2022-09-08 18:24:22.313,9866,57,565,2134
0022bce2ad006326afe7,1662673243795,2022-09-08 18:40:43.795,9869,57,564,2131
0022bce2ad006326afe7,1662675728489,2022-09-08 19:22:08.489,9870,57,564,2130
0022bce2ad006326afe7,1662676051040,2022-09-08 19:27:31.040,9871,57,561,2129
0022bce2ad006326afe7,1662679299485,2022-09-08 20:21:39.485,9878,56,554,2122
0022bce2ad006326afe7,1662719591637,2022-09-09 07:33:11.637,9885,55,544,2115
0022bce2ad006326afe7,1662727366556,2022-09-09 09:42:46.556,9885,55,543,2115
0022bce2ad006326afe7,1662736099708,2022-09-09 12:08:19.708,9893,54,542,2107
0022bce2ad006326afe7,1662742051674,2022-09-09 13:47:31.674,9915,52,501,2085
0022bce2ad006326afe7,1662758049124,2022-09-09 18:14:09.124,9924,51,491,2076
0022bce2ad006326afe7,1662758767347,2022-09-09 18:26:07.347,9924,50,490,2076
0022bce2ad006326afe7,1662761099937,2022-09-09 19:04:59.937,9932,49,480,2068
0022bce2ad006326afe7,1662762047776,2022-09-09 19:20:47.776,9938,49,472,2062
0022bce2ad006326afe7,1662776713031,2022-09-09 23:25:13.031,9947,48,471,2053
0022bce2ad006326afe7,1662850391482,2022-09-10 19:53:11.482,9956,48,465,2044
0022bce2ad006326afe7,1662857457923,2022-09-10 21:50:57.923,9961,47,463,2039
0022bce2ad006326afe7,1662900067901,2022-09-11 09:41:07.901,9965,47,457,2035
0022bce2ad006326afe7,1662902147583,2022-09-11 10:15:47.583,9969,45,440,2031
0022bce2ad006326afe7,1662910626638,2022-09-11 12:37:06.638,9970,45,431,2030
0022bce2ad006326afe7,1662913753889,2022-09-11 13:29:13.889,9974,45,428,2026
0022bce2ad006326afe7,1662916340786,2022-09-11 14:12:20.786,9977,45,428,2023
0022bce2ad006326afe7,1662919195997,2022-09-11 14:59:55.997,9995,42,395,2005
0022bce2ad006326afe7,1662979047935,2022-09-12 07:37:27.935,10003,41,383,1997
0022bce2ad006326afe7,1662995440456,2022-09-12 12:10:40.456,10011,40,382,1989
0022bce2ad006326afe7,1663000716075,2022-09-12 13:38:36.075,10019,39,365,1981
0022bce2ad006326afe7,1663023263929,2022-09-12 19:54:23.929,10023,38,360,1977
0022bce2ad006326afe7,1663024093240,2022-09-12 20:08:13.240,10028,38,362,1972
